Symbol,Company
^VIX,CBOE Volatility Index
^GSPC,S&P 500
^DJI,Dow Jones Industrial Average
NDAQ,Nasdaq Inc.
^NDX,NASDAQ-100
^NBI,NASDAQ Biotechnology
^N225,Nikkei 225
^STOXX50E,EURO STOXX 50
^STOXX,STXE 600
^GDAXI,DAX
^FTSE,FTSE 100
^FCHI,CAC 40
^IBEX,IBEX 35
GC=F,Gold
BZ=F,Brent Crude Oil
CL=F,Crude Oil
EURCHF=X,EUR/CHF
EURUSD=X,EUR/USD
GBPEUR=X,GBP/EUR
BTC-EUR,Bitcoin EUR
ETH-EUR,Ethereum EUR
DOGE-EUR,Dogecoin EUR
BMY,Bristol-Myers Squibb
NOVN.SW,Novartis AG
ROG.SW,Roche Holding AG
AMGN,Amgen Inc.
BIIB,Biogen Inc.
GILD,Gilead Sciences Inc.
TEF.MC,Telefónica S.A.
ORA.PA,Orange S.A.
DTE.F,Deutsche Telekom AG
ABI.BR,Anheuser-Busch InBev
ALM.MC,Almirall S.A.
KRYS,Krystal Biotech Inc.
CABK.MC,CaixaBank S.A.
SAB.MC,Banco de Sabadell S.A.
SAN.MC,Banco Santander S.A.
BBVA.MC,Banco Bilbao Vizcaya Argentaria
IAG.MC,International Consolidated Airlines
REP.MC,Repsol S.A.
CLNX.MC,Cellnex Telecom S.A.
UBSG.SW,UBS Group AG
ESYJY,easyJet plc
GE,GE Aerospace
SAN.PA,Sanofi
ACS.MC,ACS Actividades de Construccion
AMCR,Amcor plc
EUNK.DE,iShares Core MSCI Europe
SELD.DE,Amundi Stoxx Europe
BNP.PA,BNP Paribas SA
^SP500-302030,S&P 500 Tobacco
DB,Deutsche Bank AG
PFE,Pfizer Inc.
MRNA,Moderna Inc.
ITLMS.MI,FTSE Italia All-Share
RY4C.F,Ryanair Holdings plc
BA,The Boeing Company
BRK-B,Berkshire Hathaway Inc.
MC.PA,LVMH
DIS,The Walt Disney Company
HD,The Home Depot Inc.
NKE,NIKE Inc.
AIR.PA,Airbus SE
UCB.BR,UCB SA
IQV,IQVIA Holdings Inc.
QTS.F,IQVIA Holdings (Frankfurt)
DUFRY,Avolta AG
D2JA.F,Avolta (Frankfurt)
HEIA.AS,Heineken N.V.
ONON,On Holding AG
EII.F,Eisai Co. Ltd. (Frankfurt)
EII.DU,Eisai Co. Ltd. (Dusseldorf)
D2JA.SG,Dufry AG (Stuttgart)
CS.PA,AXA SA
MAP.MC,Mapfre S.A.
ALV.DE,Allianz SE
EJT1.SG,easyJet PLC (Stuttgart)
IBE.MC,Iberdrola S.A.
GUI.F,Diageo plc
VOW3.DE,Volkswagen AG
GLE.PA,Société Générale
LLY,Eli Lilly and Company
GRF.MC,Grifols S.A.
TSLA,Tesla Inc.
GOOG,Alphabet Inc. (Class C)
GOOGL,Alphabet Inc. (Class A)
MSFT,Microsoft Corporation
AAPL,Apple Inc.
AMZN,Amazon.com Inc.
NVDA,NVIDIA Corporation
INTC,Intel Corporation
AMD,Advanced Micro Devices
TSM,Taiwan Semiconductor Manufacturing
PLTR,Palantir Technologies Inc.
QUBT,Quantum Computing Inc.
ADS.DE,adidas AG
ENGI.PA,Engie SA
TTE,TotalEnergies SE
NOVA.F,Novo Nordisk A/S
300750.SZ,Contemporary Amperex Technology
EURHKD=X,EUR/HKD
IONQ,IonQ Inc.
QBTS,D-Wave Quantum Inc.
RGTI,Rigetti Computing Inc.
RNO.PA,Renault SA
HLN,Haleon plc
KVUE,Kenvue Inc.
EOAN.DE,E.ON SE
ENEL.MI,Enel SpA
ZURN.SW,Zurich Insurance Group AG
ABBN.SW,ABB Ltd
SREN.SW,Swiss Re AG
KNIN.SW,Kuehne + Nagel International AG
ONC,BeOne Medicines AG
AZN.L,AstraZeneca PLC
^SSMI,SMI PR
UA,Under Armour Inc. (Class C)
UAA,Under Armour Inc. (Class A)